superordinate	train	entity.n.01
superordinate	train	abstraction.n.06
none	train	indefinite_quantity.n.01
none	train	batch.n.02
none	train	haymow.n.01
none	train	small_indefinite_quantity.n.01
none	train	taste.n.05
none	train	morsel.n.02
none	train	chew.n.01
none	train	crumb.n.03
none	train	breadcrumb.n.01
none	train	cracker_crumbs.n.01
none	train	sop.n.01
superordinate	train	relation.n.01
superordinate	train	part.n.01
superordinate	train	substance.n.01
superordinate	train	material.n.01
superordinate	train	coloring_material.n.01
basic	train	paint.n.01
subordinate	train	acrylic.n.03
subordinate	train	antifouling_paint.n.01
subordinate	train	coat_of_paint.n.01
subordinate	train	finish_coat.n.01
subordinate	train	flat_coat.n.01
subordinate	train	couch.n.02
subordinate	train	distemper.n.03
subordinate	train	enamel.n.03
subordinate	train	encaustic.n.01
subordinate	train	finger_paint.n.01
subordinate	train	house_paint.n.01
subordinate	train	oil_paint.n.01
subordinate	train	oil.n.02
subordinate	train	semigloss.n.01
subordinate	train	spray_paint.n.01
subordinate	train	water-base_paint.n.01
subordinate	train	calcimine.n.01
subordinate	train	casein_paint.n.01
subordinate	train	latex_paint.n.01
subordinate	train	tempera.n.01
subordinate	train	wash.n.01
subordinate	train	blackwash.n.03
subordinate	train	calcimine.n.01
subordinate	train	color_wash.n.01
subordinate	train	whitewash.n.02
subordinate	train	watercolor.n.02
subordinate	train	gouache.n.01
superordinate	train	physical_entity.n.01
superordinate	train	causal_agent.n.01
basic	train	person.n.01
subordinate	train	abator.n.01
subordinate	train	abjurer.n.01
subordinate	train	abomination.n.01
subordinate	train	abstainer.n.02
subordinate	train	teetotaler.n.01
subordinate	train	achiever.n.01
subordinate	train	first_lady.n.01
subordinate	train	great.n.01
subordinate	train	highflier.n.01
subordinate	train	natural.n.01
subordinate	train	sleeper.n.03
subordinate	train	acquaintance.n.03
subordinate	train	bunkmate.n.01
subordinate	train	campmate.n.01
subordinate	train	connection.n.04
subordinate	train	end_man.n.02
subordinate	train	homeboy.n.02
subordinate	train	messmate.n.01
subordinate	train	pickup.n.04
subordinate	train	schoolmate.n.01
subordinate	train	acquirer.n.01
subordinate	train	appropriator.n.01
subordinate	train	kleptomaniac.n.01
subordinate	train	poacher.n.01
subordinate	train	preemptor.n.01
subordinate	train	procurer.n.02
subordinate	train	recipient.n.01
subordinate	train	addressee.n.01
subordinate	train	alienee.n.01
subordinate	train	annuitant.n.01
subordinate	train	assignee.n.01
subordinate	train	beneficiary.n.01
subordinate	train	co-beneficiary.n.01
subordinate	train	devisee.n.01
subordinate	train	legatee.n.01
subordinate	train	pensioner.n.01
subordinate	train	old-age_pensioner.n.01
subordinate	train	borrower.n.01
subordinate	train	freeloader.n.01
subordinate	train	conferee.n.01
subordinate	train	consignee.n.01
subordinate	train	dependant.n.01
subordinate	train	charge.n.07
subordinate	train	minion.n.01
subordinate	train	grantee.n.01
subordinate	train	heir.n.01
subordinate	train	heir_apparent.n.01
subordinate	train	heir_presumptive.n.01
subordinate	train	heir-at-law.n.01
subordinate	train	heiress.n.01
subordinate	train	honoree.n.01
subordinate	train	academician.n.01
subordinate	train	laureate.n.01
subordinate	train	nobelist.n.01
subordinate	train	poet_laureate.n.02
subordinate	train	host.n.07
subordinate	train	mandatary.n.01
subordinate	train	payee.n.01
subordinate	train	protege.n.01
subordinate	train	protegee.n.01
subordinate	train	sendee.n.01
subordinate	train	transferee.n.01
subordinate	train	warrantee.n.01
subordinate	train	active.n.03
subordinate	train	actor.n.02
subordinate	train	demon.n.03
subordinate	train	eager_beaver.n.01
subordinate	train	goffer.n.01
subordinate	train	energizer.n.01
subordinate	train	go-getter.n.01
subordinate	train	man_of_action.n.01
subordinate	train	powerhouse.n.01
subordinate	train	self-starter.n.01
subordinate	train	adjudicator.n.01
subordinate	train	judge.n.01
subordinate	train	alcalde.n.01
subordinate	train	chief_justice.n.01
subordinate	train	daniel.n.02
subordinate	train	doge.n.01
subordinate	train	justiciar.n.01
subordinate	train	magistrate.n.01
subordinate	train	justice_of_the_peace.n.01
subordinate	train	stipendiary.n.01
subordinate	train	ordinary.n.01
subordinate	train	praetor.n.01
subordinate	train	qadi.n.01
subordinate	train	recorder.n.03
subordinate	train	trial_judge.n.01
subordinate	train	trier.n.01
subordinate	train	official.n.02
subordinate	train	football_official.n.01
subordinate	train	back_judge.n.01
subordinate	train	field_judge.n.01
subordinate	train	head_linesman.n.01
subordinate	train	line_judge.n.01
subordinate	train	side_judge.n.01
subordinate	train	linesman.n.01
subordinate	train	referee.n.01
subordinate	train	scorekeeper.n.01
subordinate	train	starter.n.03
subordinate	train	timekeeper.n.01
subordinate	train	umpire.n.01
subordinate	train	admirer.n.02
subordinate	train	venerator.n.01
subordinate	train	wonderer.n.02
subordinate	train	adoptee.n.01
subordinate	train	adult.n.01
subordinate	train	brachycephalic.n.01
subordinate	train	caregiver.n.02
